A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
61.31,25.19,11.4,4.327,11.7,4.399,11.7,4.401,58.42,28.66,11.88,4.598,11.79,4.565,12.04,4.488,junk
0.009374,0.002272,0.00174,6.044E-4,0.001835,6.07E-4,0.001882,5.19E-4,3.61E-5,-4.722E-5,1.68E-4,-1.79E-5,1.137E-4,4.756E-5,9.578E-5,1.713E-5,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk
